"","Date","Open","High","Low","Close","Index","Country"
"14902","06-5-2007",1001.23,1066.04,964.89,1066.04,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14903","06-4-2007",1117.19,1124.22,1039.47,1039.9,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14904","06-1-2007",1187.45,1202.66,1123.08,1128.57,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14905","05-31-2007",1176.81,1208.16,1123.77,1187.51,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14906","05-30-2007",1208.72,1270.26,1191.1,1199.45,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14907","05-29-2007",1270.42,1292.44,1263.68,1292.44,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14908","05-28-2007",1247.77,1270.17,1247.77,1264.04,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14909","05-25-2007",1211.96,1236.95,1204.61,1235,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14910","05-24-2007",1229.16,1235.11,1193.59,1215.17,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14911","05-23-2007",1203.83,1223.98,1197.05,1223.98,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14912","05-22-2007",1189.27,1205.58,1189.27,1198.41,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14913","05-21-2007",1120.2,1185.58,1117.65,1181.42,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14914","05-18-2007",1152.45,1163.85,1144.27,1156.68,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14915","05-17-2007",1131.4,1154.65,1129.4,1151.85,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14916","05-16-2007",1095.7,1124.2,1082.78,1124.2,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14917","05-15-2007",1130.56,1137.21,1095.84,1097.94,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14918","05-14-2007",1101.91,1135.64,1093.25,1127.74,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14919","05-11-2007",1114.85,1120.7,1097.22,1114.78,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14920","05-10-2007",1113.42,1127.47,1105.68,1123.17,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14921","05-9-2007",1115.71,1119.62,1068.5,1111.29,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14922","05-8-2007",1085.4,1108.81,1081.21,1108.2,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14923","04-30-2007",1046.97,1067.04,1042.88,1064.76,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14924","04-27-2007",1058.21,1058.65,1040.11,1048.48,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14925","04-26-2007",1046.69,1057.09,1041.46,1057.05,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14926","04-25-2007",1042.03,1047.53,1020.77,1042.66,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14927","04-24-2007",1050.79,1058.65,1037.47,1046.81,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14928","04-23-2007",1016.85,1044.16,1016.85,1042.82,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14929","04-20-2007",964.92,1006.37,964.92,1003.87,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14930","04-19-2007",1008.76,1008.76,938.17,960.03,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14931","04-18-2007",994.66,1011.65,984.94,1009.66,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14932","04-17-2007",980.67,990.67,958.48,989.89,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14933","04-16-2007",950.84,973.88,950.84,973.88,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14934","04-13-2007",950.46,961.77,943.75,948.43,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14935","04-12-2007",930.23,948.69,925.62,948.69,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14936","04-11-2007",921.02,928.28,908.73,928.28,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14937","04-10-2007",911.06,918.69,889.69,918.66,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14938","04-9-2007",894.04,909.75,894.04,907.82,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14939","04-6-2007",871.45,890.88,867.87,889.2,"SZSE COMPOSITE INDEX","China-Shenzhen"
