Date,Close,High,Low,Open
2009/11/5,12901.701,12982.794,12777.293,12945.932
2009/11/4,12931.208,13024.155,12772.8,12886.095
2009/11/3,12859.856,12903.684,12727.484,12754.702
2009/11/2,12715.652,12718.973,11957.575,12016.613
2009/10/30,12297.162,12491.718,12294.189,12427.104
2009/10/29,12193.159,12373.708,12174.123,12270.614
2009/10/28,12505.327,12527.609,12234.352,12349.47
2009/10/27,12412.449,12739.085,12412.449,12704.24
2009/10/26,12815.259,12916.805,12708.884,12869.339
2009/10/23,12843.213,12941.382,12656.32,12656.32
2009/10/22,12624.682,12751.302,12586.674,12670.973
2009/10/21,12692.716,12875.102,12631.479,12683.733
2009/10/20,12676.238,12684.974,12531.665,12566.47
2009/10/19,12483.265,12485.209,12035.189,12047.736
2009/10/16,12033.368,12126.918,11828.056,12046.804
2009/10/15,12010.18,12214.067,11985.257,12092.423
2009/10/14,11975.907,12171.472,11895.297,11914.767
2009/10/13,11874.901,11874.901,11679.203,11710.141
2009/10/12,11743.887,11895.911,11728.061,11829.297
2009/10/9,11801.234,11809.097,11452.333,11499.696
2009/9/30,11206.847,11300.029,11121.229,11121.229
2009/9/29,11069.282,11157.547,10883.134,11092.516
2009/9/28,11086.709,11527.625,11042.07,11418.44
2009/9/25,11384.162,11539.043,11261.701,11382.153
2009/9/24,11475.876,11654.088,11109.078,11386.443
2009/9/23,11462.334,11898.47,11383.941,11787.867
2009/9/22,11813.46,12230.226,11806.762,11985.817
2009/9/21,12045.205,12048.644,11553.899,11836.764
2009/9/18,11977.401,12488.602,11854.242,12486.782
2009/9/17,12473.607,12521.88,12334.96,12334.96
2009/9/16,12294.875,12456.961,12097.602,12396.496
2009/9/15,12438.243,12530.067,12306.253,12406.056
2009/9/14,12385.06,12387.559,12128.459,12145.843
2009/9/11,12096.264,12173.202,11834.467,11839.081
2009/9/10,11887.023,12066.162,11849.481,11954.83
2009/9/9,12047.224,12097.61,11828.876,12000.096
2009/9/8,11923.336,11923.336,11425.502,11548.251
2009/9/7,11635.45,11837.506,11526.961,11591.635
2009/9/4,11519.681,11609.475,11369.855,11416.655
2009/9/3,11404.052,11445.361,10765.013,10772.756
2009/9/2,10738.953,10811.577,10462.113,10503.394
2009/9/1,10614.284,10855.28,10387.417,10463.037
2009/8/31,10585.085,11297.463,10561.741,11297.463
2009/8/28,11450.079,11963.524,11418.052,11880.028
2009/8/27,11897.735,12148.18,11760.962,11868.663
2009/8/26,11995.025,12101.815,11546.249,11598.575
2009/8/25,11688.174,12009.563,11332.387,12009.563
2009/8/24,12075.797,12126.864,11847.517,11962.76
2009/8/21,11892.017,11981.484,11542.395,11602.306
2009/8/20,11648.353,11667.979,11193.028,11193.028
2009/8/19,11209.925,11833.967,11072.606,11818
2009/8/18,11773.302,11833.031,11466.994,11527.696
2009/8/17,11668.8,12378.005,11652.915,12269.491
2009/8/14,12499.749,12924.201,12472.944,12807.44
2009/8/13,12802.906,12834.083,12383.19,12622.753
2009/8/12,12591.662,13101.994,12547.418,13091.959
2009/8/11,13137.106,13198.835,12943.915,13033.088
2009/8/10,12973.649,13243.819,12745.897,13109.324
2009/8/7,12975.257,13569.635,12943.836,13459.42
2009/8/6,13495.969,13781.806,13268.303,13660.389
2009/8/5,13782.941,13943.443,13572.817,13895.693
2009/8/4,13904.546,13929.982,13603.001,13924.915
2009/8/3,13856.992,13867.712,13582.344,13735.084
2009/7/31,13670.718,13671.134,13250.497,13387.883
2009/7/30,13272.531,13377.006,12796.295,13141.757
2009/7/29,13070.595,13810.086,12720.047,13778.576
2009/7/28,13836.656,13881.136,13634.794,13785.85
2009/7/27,13743.402,13751.744,13465.72,13599.658
2009/7/24,13531.719,13660.277,13276.197,13602.238
2009/7/23,13521.654,13528.54,13326.75,13374.751
